Date,Open,High,Low,Close,Adj Close,Volume
11/29/2017,126.60,127.10,126.07,126.55,126.55,128200.00
11/30/2017,126.40,126.89,126.20,126.34,126.34,110600.00
12/1/2017,125.40,125.59,123.68,124.36,124.36,201300.00
12/4/2017,124.70,124.96,123.71,123.92,123.92,243400.00
12/5/2017,124.04,124.84,123.13,123.68,123.68,190200.00
12/6/2017,123.00,123.28,122.63,122.97,122.97,95700.00
12/7/2017,123.39,123.58,122.85,123.39,123.39,113600.00
12/8/2017,124.17,124.50,124.02,124.45,124.45,125100.00
12/11/2017,124.19,124.19,123.72,123.93,123.93,89600.00
12/12/2017,123.92,124.52,123.80,124.25,124.25,110100.00
12/13/2017,124.73,125.26,124.69,124.92,124.92,83200.00
12/14/2017,125.61,125.75,124.91,125.00,125.00,339500.00
12/15/2017,124.23,124.66,124.17,124.34,124.34,127500.00
12/18/2017,126.87,127.44,126.74,127.32,127.32,160600.00
12/19/2017,127.51,127.70,126.80,127.01,127.01,90900.00
12/20/2017,128.00,128.01,127.33,127.63,127.63,103900.00
12/21/2017,128.24,128.44,128.06,128.28,128.28,180800.00
12/22/2017,128.12,128.34,127.74,128.32,128.32,75800.00
12/26/2017,128.00,128.16,127.82,127.98,127.98,48400.00
12/27/2017,127.97,128.30,127.87,128.23,128.23,77800.00
12/28/2017,128.11,128.43,127.52,128.27,128.27,102300.00
12/29/2017,128.44,128.44,127.11,127.17,127.17,122100.00
1/2/2018,127.43,128.43,127.17,128.37,128.37,83500.00
1/3/2018,128.68,130.24,128.56,130.13,130.13,162200.00
1/4/2018,131.31,132.16,131.30,132.16,132.16,161800.00
1/5/2018,133.11,133.87,133.08,133.86,133.86,135300.00
1/8/2018,133.98,134.79,133.62,134.77,134.77,131200.00
1/9/2018,133.82,133.83,133.09,133.72,133.72,148000.00
1/10/2018,136.73,137.29,136.09,136.40,136.40,389500.00
1/11/2018,136.69,136.91,135.63,136.91,136.91,180000.00
1/12/2018,136.69,137.20,136.44,137.20,137.20,101200.00
1/16/2018,139.20,139.50,137.59,137.97,137.97,257800.00
1/17/2018,140.62,140.99,139.65,140.72,140.72,394400.00
1/18/2018,139.27,139.31,138.41,138.63,138.63,173300.00
1/19/2018,139.89,140.31,139.36,139.85,139.85,170600.00
1/22/2018,138.97,139.40,138.68,139.40,139.40,249800.00
1/23/2018,139.63,139.63,138.95,139.28,139.28,164800.00
1/24/2018,139.51,139.65,138.50,139.03,139.03,236800.00
1/25/2018,139.44,139.44,137.71,138.18,138.18,270900.00
1/26/2018,139.35,139.74,138.90,139.56,139.56,319300.00
1/29/2018,139.95,140.46,139.46,139.53,139.53,249200.00
1/30/2018,139.98,140.27,139.25,139.62,139.62,217200.00
1/31/2018,138.45,138.52,137.15,137.92,137.92,224600.00
2/1/2018,138.24,139.25,138.22,138.80,138.80,169600.00
2/2/2018,138.90,138.99,136.59,136.62,136.62,253200.00
2/5/2018,135.50,136.11,131.31,131.93,131.93,313800.00
2/6/2018,134.35,139.48,133.25,138.76,138.76,513200.00
2/7/2018,137.34,138.78,136.85,136.88,136.88,217800.00
2/8/2018,138.20,138.29,134.41,134.43,134.43,387700.00
2/9/2018,137.16,137.64,133.03,136.57,136.57,433000.00
2/12/2018,137.76,139.14,136.79,138.76,138.76,255100.00
2/13/2018,134.10,135.29,133.80,135.04,135.04,300100.00
2/14/2018,132.74,135.58,132.16,135.47,135.47,262600.00
2/15/2018,135.00,135.33,134.13,135.28,135.28,218500.00
2/16/2018,135.93,136.76,135.90,136.20,136.20,158500.00
2/20/2018,135.70,136.59,135.40,135.85,135.85,128800.00
2/21/2018,135.82,136.51,134.80,134.80,134.80,144300.00
2/22/2018,135.62,136.19,134.95,135.23,135.23,148000.00
2/23/2018,136.07,137.08,135.73,137.03,137.03,101800.00
2/26/2018,137.37,138.56,137.06,138.43,138.43,125600.00
2/27/2018,137.73,137.95,136.02,136.03,136.03,150800.00
2/28/2018,136.17,136.22,134.57,134.60,134.60,135600.00
3/1/2018,133.48,133.56,129.50,130.39,130.39,444200.00
3/2/2018,129.17,130.73,128.60,130.59,130.59,214200.00
3/5/2018,129.30,131.42,128.96,130.98,130.98,161200.00
3/6/2018,131.68,131.84,130.74,131.34,131.34,194900.00
3/7/2018,129.48,130.00,128.41,129.82,129.82,284100.00
3/8/2018,129.20,129.81,128.73,129.56,129.56,233800.00
3/9/2018,128.62,130.13,127.86,129.70,129.70,473000.00
3/12/2018,130.04,131.00,130.04,130.34,130.34,144000.00
3/13/2018,130.66,131.17,129.67,130.00,130.00,174200.00
3/14/2018,131.21,131.21,129.87,130.00,130.00,116100.00
3/15/2018,130.56,131.00,129.93,130.39,130.39,102400.00
3/16/2018,130.08,130.41,129.90,129.91,129.91,91400.00
3/19/2018,129.16,129.35,127.25,127.84,127.84,179500.00
3/20/2018,128.55,129.39,128.52,129.25,129.25,69100.00
3/21/2018,129.29,130.20,128.87,129.28,129.28,110500.00
3/22/2018,128.31,128.65,126.95,127.02,127.02,177300.00
3/23/2018,126.45,126.72,124.46,124.50,124.50,223200.00
3/26/2018,126.27,127.49,125.25,127.31,127.31,158700.00
3/27/2018,129.48,130.11,127.55,128.04,128.04,347600.00
3/28/2018,128.21,129.74,128.14,129.37,129.37,348300.00
3/29/2018,130.00,130.95,129.08,130.37,130.37,165000.00
4/2/2018,128.95,128.95,125.85,126.59,126.59,260000.00
4/3/2018,127.11,128.47,126.92,128.35,128.35,233100.00
4/4/2018,125.97,127.92,125.77,127.76,127.76,396400.00
4/5/2018,127.34,127.89,126.93,127.40,127.40,437300.00
4/6/2018,126.12,126.51,124.45,125.37,125.37,420600.00
4/9/2018,126.25,127.22,125.73,126.17,126.17,233200.00
4/10/2018,127.98,128.53,127.76,128.26,128.26,303400.00
4/11/2018,128.01,128.53,127.72,127.81,127.81,155000.00
4/12/2018,128.58,129.02,128.30,128.63,128.63,134500.00
4/13/2018,128.85,128.95,128.22,128.53,128.53,89000.00
4/16/2018,129.16,129.34,128.71,128.82,128.82,137300.00
4/17/2018,128.98,129.41,128.51,129.34,129.34,174100.00
4/18/2018,129.47,129.63,129.02,129.07,129.07,199600.00
4/19/2018,128.79,128.79,128.00,128.49,128.49,148000.00
4/20/2018,128.95,129.34,128.80,129.23,129.23,214600.00
4/23/2018,129.36,129.37,128.74,129.07,129.07,117600.00
4/24/2018,130.50,130.64,129.08,129.47,129.47,145600.00
4/25/2018,130.73,131.27,130.54,131.10,131.10,181500.00
4/26/2018,131.40,131.87,131.11,131.61,131.61,105800.00
4/27/2018,131.39,131.65,130.91,131.01,131.01,116900.00
4/30/2018,131.26,131.84,130.81,130.98,130.98,170600.00
5/1/2018,130.69,131.00,130.15,130.97,130.97,127000.00
5/2/2018,131.00,131.00,130.10,130.18,130.18,127100.00
5/3/2018,129.93,130.53,129.10,130.11,130.11,109500.00
5/4/2018,129.90,131.32,129.54,131.32,131.32,109800.00
5/7/2018,131.40,131.94,131.15,131.51,131.51,114300.00
5/8/2018,130.63,130.98,130.45,130.90,130.90,133800.00
5/9/2018,135.14,136.29,134.96,136.29,136.29,364800.00
5/10/2018,138.35,138.68,138.15,138.39,138.39,198400.00
5/11/2018,137.98,138.16,137.60,138.07,138.07,140600.00
5/14/2018,138.04,138.45,138.00,138.14,138.14,98800.00
5/15/2018,136.44,136.46,135.93,136.22,136.22,148700.00
5/16/2018,136.93,137.66,136.85,137.35,137.35,100900.00
5/17/2018,137.00,137.06,136.46,136.67,136.67,73100.00
5/18/2018,136.50,136.50,135.67,136.04,136.04,168600.00
5/21/2018,136.49,136.57,136.03,136.45,136.45,81800.00
5/22/2018,136.50,136.50,135.66,135.74,135.74,120400.00
5/23/2018,134.60,134.89,133.83,134.83,134.83,106300.00
5/24/2018,132.40,132.82,131.79,132.44,132.44,261800.00
5/25/2018,129.80,130.22,129.61,129.96,129.96,204900.00
5/29/2018,127.43,127.83,126.36,126.70,126.70,276400.00
5/30/2018,126.64,127.67,126.59,127.23,127.23,287700.00
5/31/2018,127.83,128.15,127.09,127.97,127.97,369800.00
6/1/2018,131.29,131.87,130.92,131.31,131.31,225800.00
6/4/2018,135.25,135.29,134.18,134.28,134.28,180500.00
6/5/2018,133.63,133.75,133.36,133.46,133.46,94700.00
6/6/2018,136.03,136.18,135.38,136.17,136.17,141500.00
6/7/2018,136.76,137.42,136.42,136.45,136.45,233500.00
6/8/2018,136.39,136.41,135.79,136.21,136.21,107100.00
6/11/2018,136.48,137.56,136.47,137.15,137.15,95200.00
6/12/2018,134.70,134.98,134.39,134.55,134.55,225000.00
6/13/2018,135.84,135.93,135.29,135.41,135.41,112400.00
6/14/2018,135.40,135.79,135.32,135.44,135.44,76800.00
6/15/2018,136.24,136.38,135.21,135.81,135.81,150400.00
6/18/2018,135.62,136.55,135.59,136.52,136.52,135400.00
6/19/2018,135.80,136.19,135.53,136.15,136.15,158100.00
6/20/2018,135.20,135.30,134.26,134.37,134.37,117600.00
6/21/2018,133.59,133.59,132.19,132.66,132.66,155600.00
6/22/2018,131.89,131.93,130.72,131.00,131.00,209600.00
6/25/2018,129.85,129.98,128.23,128.57,128.57,205700.00
6/26/2018,129.27,129.77,128.63,129.21,129.21,167400.00
6/27/2018,128.64,128.64,127.10,127.11,127.11,323500.00
6/28/2018,128.14,129.39,128.06,129.09,129.09,173400.00
6/29/2018,129.39,129.90,128.78,128.81,128.81,176600.00
7/2/2018,127.52,128.06,127.00,127.93,127.93,101500.00
7/3/2018,128.33,128.35,127.25,127.40,127.40,96500.00
7/5/2018,128.38,129.30,128.38,129.07,129.07,120800.00
7/6/2018,129.43,129.94,129.09,129.56,129.56,84300.00
7/9/2018,130.23,130.81,130.23,130.70,130.70,69500.00
7/10/2018,129.18,129.44,129.01,129.27,129.27,120100.00
7/11/2018,128.68,128.74,127.78,128.06,128.06,75300.00
7/12/2018,129.06,129.35,128.82,129.18,129.18,79700.00
7/13/2018,129.12,129.67,129.08,129.51,129.51,74900.00
7/16/2018,129.71,129.71,129.40,129.51,129.51,100500.00
7/17/2018,130.79,131.93,130.70,131.45,131.45,135600.00
7/18/2018,132.61,132.95,131.97,132.09,132.09,182200.00
7/19/2018,131.72,132.02,131.46,131.77,131.77,107700.00
7/20/2018,132.10,132.27,131.73,131.80,131.80,123000.00
