Date,Price,Open,High,Low,Vol.,Change
11/13/2019,10595,10655,10655,10536,547350,-0.0056
11/14/2019,10476,10595,10595,10476,740150,-0.0112
11/15/2019,10536,10536,10595,10476,708660,0.0057
11/18/2019,10417,10536,10595,10417,2030000,-0.0113
11/19/2019,10476,10417,10536,10417,604120,0.0057
11/20/2019,10476,10476,10595,10417,1250000,0
11/21/2019,10417,10417,10417,10357,710710,-0.0057
11/22/2019,10417,10417,10476,10238,1180000,0
11/25/2019,10298,10298,10357,10179,413440,-0.0114
11/26/2019,10298,10298,10417,10298,549000,0
11/27/2019,10357,10357,10417,10298,412350,0.0058
11/28/2019,10238,10357,10357,10119,1240000,-0.0115
11/29/2019,10179,10238,10238,10179,639680,-0.0058
12/2/2019,10119,10298,10298,10060,656180,-0.0059
12/3/2019,9881,10357,10476,9821,1260000,-0.0235
12/4/2019,10119,10000,10119,10000,615940,0.0241
12/5/2019,10060,10119,10119,9941,881020,-0.0059
12/6/2019,10000,10000,10060,9941,318220,-0.0059
12/9/2019,10000,10000,10060,9941,375800,0
12/10/2019,9941,10000,10000,9881,874550,-0.006
12/11/2019,10000,9941,10000,9941,473310,0.006
12/12/2019,10000,10000,10060,9941,558000,0
12/13/2019,10060,10060,10179,10060,416370,0.006
12/16/2019,10060,10060,10119,10000,237500,0
12/17/2019,10060,10060,10060,10000,360160,0
