Date,Close,Open,High,Low,Vol.,Change %
19-12-19,67578,66579,67731,66042,1300000,1.50%
20-12-19,67808,67578,67962,67424,496820,0.34%
23-12-19,69805,68269,69881,68269,1200000,2.95%
24-12-19,69114,69728,69728,68269,647700,-0.99%
25-12-19,69037,69114,69805,68346,294600,-0.11%
26-12-19,68653,69497,69497,68346,515640,-0.56%
27-12-19,69497,68576,69497,67808,636560,1.23%
30-12-19,69881,69497,70803,69114,842340,0.55%
31-12-19,69267,69574,69958,69190,294460,-0.88%
02-01-20,69728,69267,70189,68883,492910,0.67%
03-01-20,69037,70265,70496,69037,684100,-0.99%
06-01-20,67194,68499,68730,67194,1120000,-2.67%
07-01-20,67424,66810,67501,65581,1290000,0.34%
08-01-20,66810,66733,67501,66195,921630,-0.91%
09-01-20,68115,67347,68269,67347,922130,1.95%
10-01-20,68730,68115,69421,67501,1950000,0.90%
13-01-20,68653,68346,68960,68346,1330000,-0.11%
14-01-20,68653,68730,69114,68422,1280000,0.00%
15-01-20,68576,68806,68806,68192,1880000,-0.11%
16-01-20,68730,68576,69344,68269,1490000,0.22%
17-01-20,72569,68730,72569,68730,2830000,5.59%
20-01-20,72185,72569,72800,71801,1060000,-0.53%
21-01-20,72185,72108,72646,71878,956480,0.00%
22-01-20,71724,72185,72953,71494,1120000,-0.64%
30-01-20,68269,70726,70957,66810,4520000,-4.82%
31-01-20,68115,67578,68960,67347,1620000,-0.23%
03-02-20,68115,64583,69267,63738,1860000,0.00%
04-02-20,68960,68346,68960,67347,1430000,1.24%
05-02-20,68269,69267,69421,68192,933150,-1.00%
06-02-20,68653,68346,69805,68192,1140000,0.56%
07-02-20,69114,68960,69728,68346,1490000,0.67%
10-02-20,68269,68499,68730,67962,774610,-1.22%
11-02-20,68499,68346,68730,68269,663790,0.34%
12-02-20,68653,68960,68960,68422,778040,0.22%
13-02-20,68576,68499,68730,68192,808050,-0.11%
14-02-20,68576,68346,68960,68346,552250,0.00%
17-02-20,68653,68576,69037,68422,438820,0.11%
18-02-20,68653,68806,68806,68346,552350,0.00%
19-02-20,68730,68346,68730,68346,336880,0.11%
20-02-20,68730,68883,69421,68499,690470,0.00%
21-02-20,68346,68730,68730,68346,1150000,-0.56%
24-02-20,66963,66042,67578,66042,1270000,-2.02%
25-02-20,66195,66042,66810,65888,1570000,-1.15%
26-02-20,65274,66042,66042,64506,1480000,-1.39%
27-02-20,64506,64506,64967,63661,1570000,-1.18%
28-02-20,63277,61511,64045,61511,2180000,-1.91%
02-03-20,62817,62586,63124,62433,853620,-0.73%
03-03-20,63124,64122,64122,63124,1080000,0.49%
04-03-20,62740,62970,62970,62202,742030,-0.61%
05-03-20,63815,63124,64199,63124,1060000,1.71%
06-03-20,64890,63738,65811,62970,1130000,1.68%
09-03-20,60359,60666,62125,60359,1540000,-6.98%
10-03-20,61357,59898,61357,57902,1830000,1.65%
11-03-20,59130,61741,61741,57134,2300000,-3.63%
12-03-20,55060,55291,56059,55060,2020000,-6.88%
13-03-20,54523,51221,56059,51221,2370000,-0.98%
16-03-20,51528,54523,54523,51067,1300000,-5.49%
17-03-20,51835,48840,51835,48840,1740000,0.60%
18-03-20,53217,52219,54293,52219,1400000,2.67%
19-03-20,50683,51682,52757,50683,1520000,-4.76%
20-03-20,47228,50683,50914,47228,3530000,-6.82%
23-03-20,43925,44233,44924,43925,2390000,-6.99%
24-03-20,44540,43925,44847,43465,1910000,1.40%
25-03-20,47612,46076,47612,45845,2340000,6.90%
26-03-20,48533,47612,49685,47228,1890000,1.93%
27-03-20,49224,48610,50606,47995,2000000,1.42%
30-03-20,46844,46152,47151,45922,2090000,-4.84%
31-03-20,47612,47228,49224,46076,1220000,1.64%
01-04-20,49915,47228,50606,47228,1570000,4.84%
03-04-20,50299,49915,50914,49147,2200000,0.77%
06-04-20,52219,51835,52449,50683,2690000,3.82%
07-04-20,52373,52219,52987,51298,2260000,0.29%
08-04-20,51835,51451,52373,51298,2270000,-1.03%
09-04-20,54523,52219,55291,52219,2290000,5.19%
10-04-20,54216,54523,55214,53448,2040000,-0.56%
13-04-20,54369,54216,55137,53755,1340000,0.28%
14-04-20,53678,54139,54369,52066,2480000,-1.27%
15-04-20,54446,53525,54753,53525,1300000,1.43%
16-04-20,54676,53755,54676,53601,1350000,0.42%
17-04-20,54830,54907,55137,54446,1880000,0.28%
20-04-20,55214,55060,55598,54369,1310000,0.70%
21-04-20,54907,54523,54907,52066,2760000,-0.56%
22-04-20,53217,52987,54600,52987,2060000,-3.08%
23-04-20,53141,54523,54523,52833,1530000,-0.14%
24-04-20,52910,53141,53448,51835,1240000,-0.43%
27-04-20,51298,53678,53678,51298,3250000,-3.05%
28-04-20,51451,51298,52603,50069,2620000,0.30%
29-04-20,52219,51451,52296,51451,1940000,1.49%
04-05-20,51758,52219,52296,51298,1090000,-0.88%
05-05-20,51298,51682,51989,51298,1290000,-0.89%
06-05-20,51912,51682,51989,51067,1090000,1.20%
07-05-20,53525,52066,53525,51989,2470000,3.11%
08-05-20,56443,53755,56980,53601,4930000,5.45%
11-05-20,57211,56443,57211,55675,2160000,1.36%
12-05-20,58055,57287,58363,57134,2810000,1.48%
13-05-20,58055,58055,58746,55291,2360000,0.00%
14-05-20,58363,57595,58670,57518,2710000,0.53%
15-05-20,58363,58670,58746,58055,2040000,0.00%
18-05-20,60282,58593,60666,58209,1280000,3.29%
19-05-20,60666,61357,61511,60513,1440000,0.64%
20-05-20,61127,60206,61204,60206,906220,0.76%
21-05-20,62356,61434,62356,61127,1820000,2.01%
22-05-20,62202,62356,62433,61434,1030000,-0.25%
25-05-20,62279,62125,62433,62049,904310,0.12%
26-05-20,63354,62202,63431,62202,945430,1.73%
27-05-20,63661,63738,64813,63661,1040000,0.48%
28-05-20,64890,63738,65351,63738,2360000,1.93%
29-05-20,65427,65274,66042,64890,1480000,0.83%
01-06-20,66426,65658,66579,65658,925500,1.53%
02-06-20,66503,66733,66733,66272,1290000,0.12%
03-06-20,67501,66810,67501,66733,590470,1.50%
04-06-20,68346,67578,68346,67578,574510,1.25%
05-06-20,68346,68422,68576,66810,1030000,0.00%
08-06-20,68653,68346,69267,67885,1020000,0.45%
09-06-20,68730,69037,69114,68653,532970,0.11%
10-06-20,68806,68730,68960,68576,1010000,0.11%
11-06-20,67578,68730,68806,66810,1490000,-1.78%
12-06-20,65735,63354,66426,63354,2060000,-2.73%
15-06-20,62970,65735,65888,62817,1550000,-4.21%
16-06-20,64276,64506,64506,63277,1020000,2.07%
17-06-20,64660,65274,65427,64352,941470,0.60%
18-06-20,65274,64506,66426,64429,2310000,0.95%
19-06-20,65581,65274,66042,65274,923790,0.47%
22-06-20,65658,65274,65735,65274,1670000,0.12%
23-06-20,66042,65658,66810,65504,1170000,0.58%
24-06-20,65043,66042,66042,64583,906160,-1.51%
25-06-20,64276,63508,64813,63508,646490,-1.18%
26-06-20,63968,64583,65043,63738,454170,-0.48%
29-06-20,62586,63968,63968,62279,758120,-2.16%
30-06-20,61665,63354,63354,61434,905950,-1.47%
01-07-20,63508,61665,63508,61434,516070,2.99%
02-07-20,63431,63892,63892,62202,598500,-0.12%
03-07-20,63738,63354,63968,63124,472550,0.48%
06-07-20,63661,63738,64045,63277,1560000,-0.12%
07-07-20,64045,64506,64660,63968,1710000,0.60%
08-07-20,63738,63892,64045,63584,619100,-0.48%
09-07-20,64199,64429,64429,63968,1230000,0.72%
10-07-20,63508,64045,64199,63047,1170000,-1.08%
13-07-20,63661,64045,64122,63277,474200,0.24%
14-07-20,63738,63661,63738,63124,544990,0.12%
15-07-20,64122,63892,64352,63892,1530000,0.60%
16-07-20,64122,64352,64429,63661,1390000,0.00%
17-07-20,63584,64199,64199,63584,801330,-0.84%
20-07-20,63124,63354,63508,62740,889160,-0.72%
21-07-20,63354,63354,63584,62740,869900,0.36%
22-07-20,63354,63354,63354,63124,797910,0.00%
23-07-20,63354,63354,63584,63047,1720000,0.00%
24-07-20,62202,63047,63200,60282,1710000,-1.82%
27-07-20,59130,58363,61434,58363,1630000,-4.94%
28-07-20,60282,59130,60513,58746,1160000,1.95%
29-07-20,59514,58363,59898,57671,1060000,-1.27%
30-07-20,59438,59591,60282,59361,1200000,-0.13%
31-07-20,58670,58363,59438,58363,858670,-1.29%
03-08-20,60513,58363,60513,58363,539520,3.14%
04-08-20,62893,61434,62893,60973,787090,3.93%
05-08-20,63508,62893,63738,61741,993800,0.98%
06-08-20,63584,63431,63815,62893,1020000,0.12%
07-08-20,63661,63738,63738,63277,661810,0.12%
10-08-20,62893,63738,63892,62893,735700,-1.21%
